# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADF1	YCL058W-A	YCL058W-A	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADH1	YOL086C	YOL086C	protein_coding	0	2	1	88	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	2	50
ADH2	YMR303C	YMR303C	protein_coding	0	4	3	47	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	4	7
ADH3	YMR083W	YMR083W	protein_coding	0	0	0	46	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ADH4	YGL256W	YGL256W	protein_coding	0	14	6	141	0	0	0	0	86	0	0	0	6	0	0	0	0	0	0	0	0	14	55
ADH5	YBR145W	YBR145W	protein_coding	0	3	0	104	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	3	52
ADH6	YMR318C	YMR318C	protein_coding	0	3	0	73	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	3	21
ADH7	YCR105W	YCR105W	protein_coding	0	0	0	23	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ADI1	YMR009W	YMR009W	protein_coding	0	2	0	31	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	21
ADK1	YDR226W	YDR226W	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADK2	YER170W	YER170W	protein_coding	1	0	4	46	0	0	0	0	14	1	0	0	4	0	0	0	0	0	0	0	0	0	32
ADO1	YJR105W	YJR105W	protein_coding	0	2	0	74	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	2	29
ADP1	YCR011C	YCR011C	protein_coding	0	2	2	13	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	2	3
ADR1	YDR216W	YDR216W	protein_coding	0	1	1	8	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	4
ADY2	YCR010C	YCR010C	protein_coding	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ADY3	YDL239C	YDL239C	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ADY4	YLR227C	YLR227C	protein_coding	0	2	3	8	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	2	3
AEP1	YMR064W	YMR064W	protein_coding	0	9	10	51	0	0	0	0	22	0	0	0	10	0	0	0	0	0	0	0	0	9	29
AEP2	YMR282C	YMR282C	protein_coding	0	0	2	15	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	5
AEP3	YPL005W	YPL005W	protein_coding	0	4	2	13	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	4	6
AFB1	YLR040C	YLR040C	protein_coding	0	1	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	10
AFG1	YEL052W	YEL052W	protein_coding	0	5	5	36	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	5	19
AFG2	YLR397C	YLR397C	protein_coding	0	13	2	45	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	13	25
AFG3	YER017C	YER017C	protein_coding	0	7	1	48	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	7	43
AFI1	YOR129C	YOR129C	protein_coding	0	4	6	58	0	0	0	0	34	0	0	0	6	0	0	0	0	0	0	0	0	4	24
AFR1	YDR085C	YDR085C	protein_coding	0	1	2	20	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	1	12
AFT1	YGL071W	YGL071W	protein_coding	0	0	8	26	0	0	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	0	15
AFT2	YPL202C	YPL202C	protein_coding	0	0	0	18	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13
AGA1	YNR044W	YNR044W	protein_coding	0	6	12	31	0	0	0	0	16	0	0	0	12	0	0	0	0	0	0	0	0	6	15
AGA2	YGL032C	YGL032C	protein_coding	0	0	0	20	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGC1	YPR021C	YPR021C	protein_coding	0	1	1	17	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	12
AGE1	YDR524C	YDR524C	protein_coding	0	9	3	82	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	0	9	52
AGE2	YIL044C	YIL044C	protein_coding	0	4	3	69	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	4	30
AGP1	YCL025C	YCL025C	protein_coding	0	2	2	35	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	2	14
AGP2	YBR132C	YBR132C	protein_coding	0	9	3	53	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	9	26
AGP3	YFL055W	YFL055W	protein_coding	1	8	7	62	0	0	0	0	57	0	0	0	7	0	0	0	0	0	1	0	0	8	5
AGX1	YFL030W	YFL030W	protein_coding	0	7	0	72	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	7	34
AHA1	YDR214W	YDR214W	protein_coding	0	0	1	6	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3
AHC1	YOR023C	YOR023C	protein_coding	0	8	2	94	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	0	8	56
AHC2	YCR082W	YCR082W	protein_coding	0	1	0	54	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	32
AHP1	YLR109W	YLR109W	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	8
AHT1	YHR093W	YHR093W	protein_coding	1	0	0	9	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	5
AIF1	YNR074C	YNR074C	protein_coding	0	0	1	12	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	5
AIM1	YAL046C	YAL046C	protein_coding	0	3	0	76	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	3	27
AIM10	YER087W	YER087W	protein_coding	0	1	3	32	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	1	3
AIM11	YER093C-A	YER093C-A	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AIM14	YGL160W	YGL160W	protein_coding	0	2	4	59	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	2	29
AIM17	YHL021C	YHL021C	protein_coding	0	5	2	61	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	5	25
AIM18	YHR198C	YHR198C	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AIM19	YIL087C	YIL087C	protein_coding	0	0	0	90	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	39
AIM2	YAL049C	YAL049C	protein_coding	0	1	2	86	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	1	50
AIM20	YIL158W	YIL158W	protein_coding	0	1	3	59	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	1	36
AIM21	YIR003W	YIR003W	protein_coding	0	1	3	7	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	1	2
AIM22	YJL046W	YJL046W	protein_coding	0	4	2	55	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	4	31
AIM23	YJL131C	YJL131C	protein_coding	0	1	2	54	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	0	1	12
AIM24	YJR080C	YJR080C	protein_coding	0	7	0	65	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	7	42
AIM25	YJR100C	YJR100C	protein_coding	0	0	0	25	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	19
AIM26	YKL037W	YKL037W	protein_coding	0	0	0	19	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AIM29	YKR074W	YKR074W	protein_coding	0	2	1	44	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	2	35
AIM3	YBR108W	YBR108W	protein_coding	0	5	5	51	0	0	0	0	37	0	0	0	5	0	0	0	0	0	0	0	0	5	14
AIM32	YML050W	YML050W	protein_coding	0	0	1	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15
AIM33	YML087C	YML087C	protein_coding	0	5	1	56	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	5	27
AIM34	YMR003W	YMR003W	protein_coding	0	4	2	61	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	0	4	23
AIM36	YMR157C	YMR157C	protein_coding	0	2	1	59	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	2	27
AIM39	YOL053W	YOL053W	protein_coding	0	0	2	19	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	7
AIM4	YBR194W	YBR194W	protein_coding	0	3	1	69	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	3	32
AIM41	YOR215C	YOR215C	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AIM44	YPL158C	YPL158C	protein_coding	0	2	7	19	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	2	15
AIM45	YPR004C	YPR004C	protein_coding	0	2	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	6
AIM46	YHR199C	YHR199C	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AIM6	YDL237W	YDL237W	protein_coding	0	0	2	7	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	3
AIM7	YDR063W	YDR063W	protein_coding	0	2	1	60	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	2	14
AIM9	YER080W	YER080W	protein_coding	0	2	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0
AIP1	YMR092C	YMR092C	protein_coding	0	5	3	61	0	0	0	0	51	0	0	0	3	0	0	0	0	0	0	0	0	5	10
AIR1	YIL079C	YIL079C	protein_coding	0	3	3	23	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	23
AIR2	YDL175C	YDL175C	protein_coding	0	1	0	46	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	29
AKL1	YBR059C	YBR059C	protein_coding	0	7	3	52	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	7	46
AKR1	YDR264C	YDR264C	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3
AKR2	YOR034C	YOR034C	protein_coding	1	4	6	42	0	0	0	0	36	0	0	0	6	0	0	0	0	1	0	0	0	4	6
ALA1	YOR335C	YOR335C	protein_coding	0	2	1	15	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	2	3
ALB1	YJL122W	YJL122W	protein_coding	0	0	2	43	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	24
ALD2	YMR170C	YMR170C	protein_coding	0	2	1	25	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	2	8
ALD3	YMR169C	YMR169C	protein_coding	0	5	1	24	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	5	12
ALD4	YOR374W	YOR374W	protein_coding	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ALD5	YER073W	YER073W	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ALD6	YPL061W	YPL061W	protein_coding	0	3	1	50	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	3	34
ALE1	YOR175C	YOR175C	protein_coding	0	3	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	5
ALF1	YNL148C	YNL148C	protein_coding	0	1	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ALG1	YBR110W	YBR110W	protein_coding	0	5	2	61	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	0	5	23
ALG11	YNL048W	YNL048W	protein_coding	0	3	1	42	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	3	9
ALG12	YNR030W	YNR030W	protein_coding	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ALG13	YGL047W	YGL047W	protein_coding	0	0	1	45	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	0	18
ALG14	YBR070C	YBR070C	protein_coding	0	3	2	44	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	3	25
ALG2	YGL065C	YGL065C	protein_coding	0	0	3	11	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	3
ALG3	YBL082C	YBL082C	protein_coding	0	1	0	31	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	28
ALG5	YPL227C	YPL227C	protein_coding	0	5	2	71	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	5	39
ALG6	YOR002W	YOR002W	protein_coding	0	3	3	9	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	3	3
ALG7	YBR243C	YBR243C	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ALG8	YOR067C	YOR067C	protein_coding	0	7	0	50	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	7	20
ALG9	YNL219C	YNL219C	protein_coding	0	0	2	20	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	5
ALK1	YGL021W	YGL021W	protein_coding	0	4	1	25	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	4	4
ALK2	YBL009W	YBL009W	protein_coding	0	11	6	52	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	11	28
ALO1	YML086C	YML086C	protein_coding	0	5	0	63	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	5	31
ALP1	YNL270C	YNL270C	protein_coding	0	0	1	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6
ALR1	YOL130W	YOL130W	protein_coding	0	5	1	62	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	5	37
ALR2	YFL050C	YFL050C	protein_coding	0	14	19	110	0	0	0	0	60	0	0	0	19	0	0	0	0	0	0	0	0	14	50
ALT1	YLR089C	YLR089C	protein_coding	0	7	0	52	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	7	29
ALT2	YDR111C	YDR111C	protein_coding	0	0	1	12	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	10
ALY1	YKR021W	YKR021W	protein_coding	0	3	2	19	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	3	12
ALY2	YJL084C	YJL084C	protein_coding	0	1	4	9	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	6
AMA1	YGR225W	YGR225W	protein_coding	1	4	3	41	0	0	0	0	24	0	0	3	3	0	0	0	0	0	1	0	0	4	14
AMD1	YML035C	YML035C	protein_coding	0	1	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	8
AMD2	YDR242W	YDR242W	protein_coding	0	0	1	4	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AME1	YBR211C	YBR211C	protein_coding	0	4	2	66	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	0	4	27
AMF1	YOR378W	YOR378W	protein_coding	0	2	2	5	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	3
AML1	YGR001C	YGR001C	protein_coding	0	0	1	55	0	0	0	0	23	0	0	5	1	0	0	0	0	0	0	0	0	0	27
AMN1	YBR158W	YBR158W	protein_coding	0	2	2	68	0	0	0	0	34	0	0	0	2	0	0	0	0	0	0	0	0	2	34
AMS1	YGL156W	YGL156W	protein_coding	0	16	5	83	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	0	16	41
ANB1	YJR047C	YJR047C	protein_coding	0	1	0	39	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	12
ANP1	YEL036C	YEL036C	protein_coding	0	6	2	43	0	0	1	0	42	0	0	0	1	0	0	0	0	0	0	0	0	6	1
ANR2	YKL047W	YKL047W	protein_coding	0	0	1	32	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANS1	YHR126C	YHR126C	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ANT1	YPR128C	YPR128C	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AOS1	YPR180W	YPR180W	protein_coding	0	2	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4
APA1	YCL050C	YCL050C	protein_coding	0	1	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	4
APA2	YDR530C	YDR530C	protein_coding	0	3	0	96	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	3	45
APC1	YNL172W	YNL172W	protein_coding	0	3	3	11	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	3	7
APC11	YDL008W	YDL008W	protein_coding	0	1	1	52	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	1	17
APC2	YLR127C	YLR127C	protein_coding	0	1	2	5	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	3
APC4	YDR118W	YDR118W	protein_coding	0	0	1	14	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	6
APC5	YOR249C	YOR249C	protein_coding	0	1	2	25	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	1	13
APC9	YLR102C	YLR102C	protein_coding	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APD1	YBR151W	YBR151W	protein_coding	0	3	0	94	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	3	51
APE1	YKL103C	YKL103C	protein_coding	0	4	4	75	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	0	4	39
APE2	YKL157W	YKL157W	protein_coding	0	1	1	28	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	25
APE3	YBR286W	YBR286W	protein_coding	0	1	1	22	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	17
APE4	YHR113W	YHR113W	protein_coding	0	5	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	2
API2	YDR525W	YDR525W	protein_coding	0	0	1	90	0	0	0	0	51	0	0	0	1	0	0	0	0	0	0	0	0	0	39
APJ1	YNL077W	YNL077W	protein_coding	0	0	1	10	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	4
APL1	YJR005W	YJR005W	protein_coding	0	1	1	34	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	1	5
APL2	YKL135C	YKL135C	protein_coding	0	3	1	29	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	3	4
APL3	YBL037W	YBL037W	protein_coding	0	8	4	61	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	8	31
